champion,icon_url,threat_level,notes
Ashe,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ashe.png,Even,"Good ashe players can permanently kite you so don't all-in unless you have some sort of advantage (summoner, w slow, ally help). You can E through her R."
AurelionSol,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/AurelionSol.png,Even,Stand behind minions to avoid his Q. Force his W (astral flight) to be on CD by **** a small trade then back off and find an all-in window during it's 22 second CD.
Aurora,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Aurora.png,Blank,Blank
Azir,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Azir.png,Major,"Tryndamere can win this lane by playing around Azir's soldier placement. Stand away from your wave so that he has to place the soldiers in bad spots. Once he places two soldiers, you can E into him to look for a winning trade. After 6, he is very hard to kill. Look to outpush and roam."
Bard,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Bard.png,Extreme,This champion completely counters you when played properly. Avoid skirmishes where this champion is participating as best as you can. Don't stand near walls/ your allies so his Q doesn't bounce stun. Don't take his journey unless you have all information on enemies. Avoid his R as it will make your R duration expire and also sets you up for more chain CC.
BelVeth,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/BelVeth.png,Major,"Avoid skirmishes where this champion is involved. If you must skirmish against this champion, try to save E to dodge their W. Bel'veth is very hard for tryndamere to deal with because she can just Q away from you infinitely."
Blitzcrank,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Blitzcrank.png,Major,"Similar to Alistar and Bard, but not as bad. Be wary of roams from this champion. There isn't really counterplay to his CC, but his Q is pretty easy to side step. The real problem is his E knock-up."
Brand,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Brand.png,Minor,"Tryndamere can invade Brand jungle with a very high success rate as brand wants to start blue buff the majority of games. If you get vision of this, try to kill him at his gromp after you push first mid wave with full rage. If you're playing top, then you can look for a cheese if he gets no leash at 1:30ish. Lane brand is actually a hard matchup. His W is a must-dodge. E through his Q and be wary of his w range so it doesn't get applied to you. If he rushes Rylai the 1v1 will be very hard so make sure to snowball before that."
Braum,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Braum.png,Even,"Avoid letting this champion apply passive stacks on you. E through the stun if it's inevitable. Avoid his Q and disengage when he puts his shield up. Don't ever be at a place where he can R you, and if you are then make sure to save E to quickly get out of the slow."
Briar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Briar.png,Even,This champion is invadable. Position yourself behind her to dodge her E. Dodging her E is quite literally the most important thing because otherwise you'll be CC'd for a long time and receive a lot of burst. Her W (the frenzy that makes her run at you fast) can be recasted by her and does execute damage so be sure to press R earlier. Make sure to E away from her while she CC's you with frenzy. She will leap and stun at you when you're in her range.
Caitlyn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Caitlyn.png,Minor,Avoid her traps. Avoid fighting her near small walls as she will use it to get away from you with her E. If shes dancing around her traps just let it CC you.
Camille,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Camille.png,Major,E into her when she uses W. Don't all-in her until level 6 if she has ignite. Tryndamere wins at 6 or before 6 if she has no ignite and you trade well. If this champion is support then be careful of roaming. You should use flash to dodge her E.
Cassiopeia,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Cassiopeia.png,Minor,Tryndamere wins at all points. Try to all-in when she misses Q. You can use ghost to walk over her W as well since it prevents you from using E. Try to proactively dodge her R by keeping your cursor close to your champion then clicking away from her.
ChoGath,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/ChoGath.png,Minor,Find an all-in window when his Q is on CD. Try to maintain a freeze in this lane to deny him xp/gold and threaten all-in. This matchup is easy but he can outscale you especially if he receives a gank and gets ahead. You can react to his R animation with low ping.
Corki,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Corki.png,Minor,Find an all-in window when his W is on CD. His Q does a lot of damage but is easily avoidable. Don't stand in front of him when his E is active. Corki outscales you hard so you NEED to win early.
Darius,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Darius.png,Major,Short trading windows. Don't let him stack his passive on you. Play reactive. If he starts W avoid trading as he has an auto reset on you. If he starts Q you can look for all-in windows by dodging the outer edge. If he starts Q animation do NOT auto. He will get the heal every time. either e away or click into him. You can try dodging his E by clicking into his model while you trade. Don't try to R react to his R as the damage comes through before the animation finishes.
Diana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Diana.png,Minor,"Avoid trading into her W. Otherwise, just stand and right click. She will try to use Q+E and minions to kite you so pay attention to that. Tryndamere wins after 6 unless she gets zhonyas, then you need to have a wave to lifesteal while she is in stasis."
DrMundo,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/DrMundo.png,Minor,"Avoid getting hit by his Q. When he activates his AOE mitigation keep trading then E away last second. Pay attention to when your minions get low and get ready to dodge them as his E will hurl them at you. During his ulti you can just back off. Just farm, outscale, and play for platings + prio in skirmishes."
Draven,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Draven.png,Even,Just walk at him so that his E never cancels your E. Be careful for his R as it has an execute. Try to fight him when he doesn't have his axes.
Ekko,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ekko.png,Minor,Avoid letting him proc his 3 hit passive. Be wary of his W stun out of vision. Don't let him trick you by not leveling his R at level 6. Just because you don't see the R animation doesn't mean he doesn't have ulti.
Elise,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Elise.png,Even,Avoid heavy trading if she is on your side of the map as she can dive you easily.
Evelynn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Evelynn.png,Even,Invadable. Avoid heavy trading if she is on your side of the map as she can dive you easily.
Ezreal,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ezreal.png,Even,Avoid taking skirmishes near walls as he can use his E to get away.
Fiddlesticks,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Fiddlesticks.png,Even,Invadable. Ward his camps as he wants to powerfarm so you can track him easily.
Fiora,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Fiora.png,Major,"Look for all-in opportunities when Fiora uses Q wrong. If the vital is favorable for her, try to auto when she goes to proc it. Fiora players like to W when you E, so you can try to E into her then immediately sidestep and then chase down. Tryndamere loses generally after 6."
Fizz,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Fizz.png,Minor,"Fizz's weakness is waveclear. Don't stand on your wave so he can't hit you and the wave at the same time. When chasing fizz, if he walks behind you he is trying to Q through you, so just click backwards as well."
Galio,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Galio.png,Minor,All-in after his W and E are on CD. Take demolish and second wind. Kraken Navori Rageblade
Gangplank,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Gangplank.png,Minor,"Try and auto his barrels when you can. Otherwise, just find an all-in with ghost+flash."
Garen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Garen.png,Minor,If he starts E just E away. W after he uses Q so that he cannot cleanse the slow. Try and all-in around his W CD.
Gnar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Gnar.png,Major,Don't let him get prio in lane. Find all-in windows when he is mini. If he transforms avoid fighting unless you are ahead. The best time to all-in is when his Mega runs out and the MS he gains from it has subsided as he doesn't have access to transform for 15 seconds.
Gragas,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Gragas.png,Extreme,Avoid trading into his W as it gives dmg reduction. Don't E until he uses E.
Graves,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Graves.png,Even,"Hard champion to invade, but you outscale him pretty fast as long as he isnt ahead of you. Look for all-in opportunities when he uses his dash into you. Be aware of skirmishes near thin walls as he will use E and R to kite you."
Gwen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Gwen.png,Minor,The only way Gwen wins this matchup is through burst cheese/ improper trading from the trynd player. If she has ghost look to force her ghost WITHOUT using your own ghost to set up future all-ins. If she has ignite just trade safely until level 6.
Hecarim,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Hecarim.png,Even,Surprisingly invadable. Surprise them with unexpected damage via kraken autos and engaging when their W is about to run out. Understand interactions when you're getting ganked. If he is Eing behind you then flash behind him so he pushes you closer to your tower.
Heimerdinger,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Heimerdinger.png,Even,"Do your best to kill his turrets when his Q and E are on CD. His passive gives him movespeed around towers so diving him can be hard, and all-ins can be hard without ghost and flash. When in doubt just outscale."
Hwei,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Hwei.png,Major,"You should never kill a good hwei player. That being said, this trick will let you kill all the bad ones: when he uses the pull ability that pulls you into the middle, he is not able to cast the fear so you have a window to ghost flash all-in him."
Illaoi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Illaoi.png,Minor,Kill her tentacles before fighting her. Pay attention to how she uses W as that will dictate when you should R. When she uses R be aware that the tentacles slam down faster.
Irelia,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Irelia.png,Minor,"The higher elo the irelia player the more even the matchup is, but generally tryndamere can just push as slow as possible and trade irelia hard any time she wants to touch the wave. Use your E when she Es so that you can dodge or disengage."
Ivern,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ivern.png,Major,Kill daisy when possible. Avoid skirmishes with Ivern as he will just E his allies and CC you. Focus whoever he doesn't E. You can E through his Q to buffer the CC.
Janna,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Janna.png,Extreme,Avoid skirmishes where this champion is participating when possible. Pay attention to when this champion is roaming.
JarvanIV,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/JarvanIV.png,Minor,Invadable. Avoid early level ganks from J4 as that can lead to being camped/ losing lane.
Jax,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Jax.png,Extreme,This matchup has become so unskilled auto-win for the jax player it's so boring. The best way to maximize winning is finding an all-in with ghost at level 1 then snowballing and praying they dont build frozen heart.
Jayce,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Jayce.png,Even,"Grasp - Stridebreaker | Look for all-in windows when the Jayce player has no phase rush or speed gate. Otherwise, mitigate the poke by just last hitting minions safely out of his zone. Keep in mind that he has increased resistances in hammer form, so when he has just used his hammer E and his PR is down is a great time to all-in/dive."
Jhin,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Jhin.png,Minor,Good jhin players can make this matchup even. Just save E to dodge his root and look for all-ins when he doesn't have 4th shot because that gives him a lot of MS before and after usage.
Jinx,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Jinx.png,Minor,Easier version of caitlyn to 1v1.
KSante,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/KSante.png,Even,"HoB - Profane | Tryndamere hard wins the match-up but K'sante can build armor and neutralize; thus, it's important that Trynd builds a lead and maintains it. Find all-ins when he has just used 3Q. If K'sante takes ghost you should just force it and disengage to create a vulnerable window to kill him later. If K'sante takes flash he can actually win the 1v1 by flash 3Q in R form, so be aware."
KaiSa,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/KaiSa.png,Even,Make sure to hold your E when trying to kill Kaisa as if you use it early she will just R the opposite way to kite. Easier version of Vayne to deal with.
Kalista,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kalista.png,Major,One of the harder ADCs to kill due to her auto mobility. Make sure to R early as she wants to use E earlier to force your R and slow you.
Karma,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Karma.png,Even,"Fake tryndamere counter. Hold your E for when she uses RQ to either disengage or all-in. Can also hold E to spin into her when rooted so you can keep autoing. If E is down, just stand behind your minions or stand next to her minions so you can auto while rooted and continuously build rage."
Karthus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Karthus.png,Minor,Invadable. Change your auto and movement rhythm so it's harder for him to Q you.
Kassadin,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kassadin.png,Minor,"Don't push the lane hard. Last hit and trade him hard when he walks up for CS. Don't be afraid to dive him pre 6, especially once you get kraken just stack the passive on tower and trade. Don't build stride."
Katarina,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Katarina.png,Even,Would be minor but even in solo queue because this champion gets fed every single game of solo queue. Position away from her daggers. Just keep mid shoved and roam first.
Kayle,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kayle.png,Minor,Worst champion in the game but be careful of fighting her level 1 especially if she has lethal tempo or ignite or some form of cheese. Her E does execute damage so be sure to R earlier. Even if you int die early you can probably still just kill her around her R CD.
Kayn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kayn.png,Major,Invadable. If it's blue kayn avoid skirmishes. If it's red kayn hold your E to react to his W.
Kennen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kennen.png,Major,"Hard matchup but winnable if Kennen is a bad player. Look for E+auto and later E+auto+tiamat trades to chip away and set up all-ins. Be aware his E gives him an AS buff after it expires, so try not to auto trade with him there. He will use his W to trade you so just back off when it's active."
KhaZix,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/KhaZix.png,Major,Need stridebreaker to deal with this champion. If he has R don't even bother you'll never kill him. If he's ganking you stand in your wave. Don't leave your minions as this will isolate you and make you easier to kill.
Kindred,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kindred.png,Minor,Be careful of taking a skirmish near a short wall as he will use Q to kite you over the wall. In every skirmish that he participates in prioritize forcing his R before yours. This champion likes to invade so get prio and look to counter his invade or invade him.
Kled,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Kled.png,Even,Annoying rat champion just tether (walk in and out of range to bait) his abilities when you can. Trade away from his W. Don't let him E onto you. DONT dismount him until you are ready to kill as he will just remount quickly. Even if he doesn't immediately get remount he can upon W CD.
KogMaw,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/KogMaw.png,Minor,"The main thing to avoid when fighting Kog'maw is walking over his W slow. Make sure that your E is up to gap close through it. Don't forget about his passive. Otherwise, just right click lol."
LeBlanc,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/LeBlanc.png,Major,"Better version of Karma. If she chains you, decide whether you want to E in (probably never) or E away. If  you can't break the chain then E to minions to farm while you're in CC. Keep track of where her W and RW are to predict her movement. Don't let her pull you too far from their location, because ultimately they want to blink back usually."
LeeSin,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/LeeSin.png,Even,Not really invadable. He's a stat checker so try to stay ahead of him. Just force his R as fast as you can because the only way you can kill him is if it's down. Stay away from small walls when skirmishing as he will use them to kite you.
Leona,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Leona.png,Even,Her CC is countered by tenacity and you can also E through her CC except for R. Don't trade into her while her W is active.
Lillia,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lillia.png,Even,"The trick to lillia is to avoid her W which is her leap. This ability has the highest base dmg in her kit, so if you avoid it you can survive for a long time in a skirmish. She is looking to hit you with her E slow which will chain into her W and then Q, so if you avoid her E the whole combo falls apart and she's useless."
Lissandra,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lissandra.png,Minor,You can E through her W stun. Don't stand behind your minions as they will expand her Q and make it undodgable. You can generally outpush her and have faster prio but she may be better in even skirmishes especially after 6.
Lucian,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lucian.png,Even,"It may be a skill issue on my part, but I feel like it's impossible to hit this guy with W, but if you land W it is pretty much a guaranteed kill."
Lulu,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lulu.png,Major,"R and polymorph are extremely annoying for Tryndamere, so try to all-in when those abilities are on CD."
Lux,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Lux.png,Minor,Cast your E when she uses Q so that  you E through the CC. Make sure to be behind her when she ultis as the hitbox will hit if you're parallel with her.
Malphite,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Malphite.png,Extreme,Permaban. Seriously just permaban. Even the worst player can counter you. Don't take grasp into it. I don't care what build Timmy in silver tells you to go just permaban it.
Malzahar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Malzahar.png,Minor,Kill his W minions when they spawn as that removes all push power he has and gives you free rage. Make sure you have R when he has R. Don't let him cancel your E with his R.
Maokai,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Maokai.png,Even,Don't let him cancel your E with his Q. You can E through his W. Avoid skirmishes with this champion involved unless you are ahead.
MasterYi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/MasterYi.png,Minor,Invadable. Consider his W as it gives him significant damage reduction. Try to disengage when he uses it. Don't let him dodge your E damage with Q.
Mel,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Mel.png,Blank,Blank
Milio,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Milio.png,Even,"Hold your E until he uses Q. Then, just right click."
MissFortune,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/MissFortune.png,Minor,E through her E slow and then just right click lol!
Mordekaiser,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Mordekaiser.png,Even,Use your wave to remove his iso Q. Hold your E until he uses his E. Best time to all-in is when his W shield is not stacked or he just reactivated it for a heal. Try to avoid standing next to walls so that when he R you he can't use them to kite you.
Morgana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Morgana.png,Minor,You can E through her Q CC. Trash champion.
Naafiri,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Naafiri.png,Minor,Auto her dogs if she hits Q on you. It will incentivize her to reactivate W leap so that you don't kill her dogs. Then you can use that CD to all-in.
Nami,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nami.png,Even,Really annoying champion to skirmish. Not as bad as Janna. Try to dodge bubble and hold E to use after her R.
Nasus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nasus.png,Major,"Don't stand in his E. Try to freeze unless you want to push to get prio and play with your jungler or try to dive nasus. Disengage when he uses W or R.  If they have phase rush, make sure to save any slows you have until after it's on CD or to prevent him from activating PR (stridebreaker slow to deny auto). Try to position near a wall so you can E over it and kite his R, W, or PR."
Nautilus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nautilus.png,Even,Avoid skirmishes where this champion participates if possible. You have no counterplay to his knockup CC chains.
Neeko,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Neeko.png,Major,Worse version of Kennen. Try to outpush her and look for E+auto and E+auto+tiamat trades until you can find all-in windows or favorable skirmishes.
Nidalee,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nidalee.png,Minor,Be aware her abilities can execute especially if you're marked. Try to fight away from bushes/ small walls so she can't kite you.
Nilah,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nilah.png,Major,Disengage when she uses her E as you have no way of damaging her.
Nocturne,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Nocturne.png,Minor,Avoid getting hit by Q/ fighting in his Q aura as he is buffed. Avoid using E or W into his spell shield because he gains AS. Try to E out of his fear then reengage. When he uses R move your camera around the map to find his Q aura to see where he is. Get a shadow when split pushing so he can't just R you in side lane over and over.
NunuWillump,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/NunuWillump.png,Even,Always track this jungler before trading in lane. You can E out of his E CC.
Olaf,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Olaf.png,Even,"Do not fight him before 6. He doesn't even have to have hands to kill you. Avoid trading, let him push into you, then look for all-in when you're 6. He wants to force your R then run away and reengage so don't waste it for nothing. If you R you need to commit."
Orianna,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Orianna.png,Even,E+Auto trades and E+auto+tiamat until you can all-in her. If she goes aery you can kill. If she goes PR just play for prio and skirmish around PR CD.
Ornn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ornn.png,Even,"Try to avoid the end of his W so he can't apply brittle on you, because that's where all his damage comes from. Try to stand near a wall then move away to bait him to E you. Don't let him Q you and your minions."
Pantheon,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Pantheon.png,Major,"Avoid trading early especially if he has ignite. His Q executes when you're below half HP, so stay healthy. You can E through his W CC. Walk into the W range then cast E as he hops on you to waste his mana and CDs. Can all-in when you're 6. Don't try to fight him if he uses empowered E as he won't take damage from you and he gets an MS boost so he can disengage right after into another W. Spam ping his R so your teammates don't die."
Poppy,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Poppy.png,Extreme,Use short E so that she can't react with W. Avoid standing next to walls. Avoid skirmishes where this champion is present at all costs. This champion makes yours completely useless. Not as bad as malphite though.
Pyke,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Pyke.png,Even,Don't try to chase this champion he will just kite you with Q and E. Surprise him with kraken autos and short E. Play like you don't have R in extended skirmish to bait him to R on you so you can kill.
Qiyana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Qiyana.png,Even,Tryndamere hard wins early level skirmishes. Avoid fighting her when she has access to bushes. You win all-in if she doesn't grab bush. Stride and Kraken.
Quinn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Quinn.png,Major,Avoid trading when  you're marked by her passive because she gains a lot of MS. Trade when her fleet is down. Try to pin her to a big wall because she can't E for distance (she will collide with the wall). If you get between her and her tower  then you can all-in her with sums. Avoid standing near short walls as she can E  you to hop over them. Your E and her E are the same CD. Care her R MS. Don't try to follow if she roams just push. Stride is a must.
Rakan,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rakan.png,Major,You should try to avoid skirmish where this champion is involved. Don't try to E his W it won't be fast enough if he aims it with you in the center. If he uses R just let the CC come through then E to prevent being canceled.
Rammus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rammus.png,Minor,"This rating may surprise a lot of people, but the truth is this champion is just bad into yours. He should take W level 1. Don't hit him. Focus on his minions to build rage. If he forces you to trade, then just auto+E away. Wait for his W to fall off, then reengage. You can win the lane off this trade alone. After he gets 2, just wait for him to taunt you and try to buffer your E through the CC to minimize damage. Once E is on CD, you have full windows to trade on him. If he proxy you proxy."
RekSai,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/RekSai.png,Even,"This champion mitigates you so hard it's infuriating. Avoid trading unless it's an all-in. I'm not sure how the matchup goes post nerfs but I'm sure it's just him taking every trade possible knocking you up disengaging with E and healing with passive. Just outscale. When he uses R on you, make sure to turn away from his tower so that he gets placed farther away from it. If he unborrows to farm CS, this is when you can surprise him as he has no true sight anymore. Otherwise, just stand still until he unborrows."
Rell,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rell.png,Even,She can CC chain you for eternity so just avoid skirmishes where she is involved.
RenataGlasc,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/RenataGlasc.png,Even,This champion scales with how strong you become. The harder you carry the more you need to avoid this champion or build qss as she can R you and you will kill the ally standing next to you. Try to flank this champion as well so that doesn't happen. If she revives someone just RUN never auto them unless it's to save another teammate.
Renekton,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Renekton.png,Major,"Tough matchup. You win trades where you have more rage. You cannot avoid empowered Q, it has too much range so just try to auto trade or not be in it when he casts it. When he W, you ideally want to cast E to buffer the CC and disallow him to follow-up with more damage. If he follows that with E keep running. If she following with double E then all-in. Avoid all-in into his ultimate. Try to disengage when this is active."
Rengar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rengar.png,Even,"Against lane rengar, avoid fighting him early. You need to find windows where you have full rage. Always pay attention to where he wants to jump to as that will maximize the number of autos you can weave in. If he doesn't empower E you, then  you can usually all-in him. Against jg rengar, it isn't really invadable solo. Make sure you care for where he is when you side as he will always try to shadow you and 2v1 to shut you down."
Riven,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Riven.png,Major,"This matchup is between even and major. The better the riven, the more into major we go. Don't fight level 1 unless you have rage built up and she wastes Q CDs on trying to gap close you. Your primary trades will be auto E away early then just E away once she levels W.  After that, it's a matter of CD tracking and finding all-in windows when her Q and E are down as those give her distance between you and her. W is irrelevant for the most part, try to E through the CC if you can. It can be valuable to flash behind her when you think she will R."
Rumble,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rumble.png,Even,If he has ignite it's unplayable until level 6. Just do your best to mitigate falling behind. If he starts E do not continue trading after you get hit by E as it shreds your MR. Post 6 look for all-in when he has just hit full rage bar as he no longer has access to spells and just has to stand and face you.
