champion,icon_url,threat_level,notes
Ornn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ornn.png,medium,"Build armor, avoid his brittle."
Pantheon,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Pantheon.png,medium,"Build armor, avoid his stun."
Poppy,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Poppy.png,hard,"Build armor, avoid her wall stun."
Pyke,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Pyke.png,medium,"Build armor, avoid his hook."
Qiyana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Qiyana.png,medium,"Build armor, avoid her elements."
Quinn,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Quinn.png,hard,"Build armor, avoid her blind."
Rakan,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rakan.png,easy,"Build magic resist, avoid his charm."
Rammus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rammus.png,medium,"Build magic resist, avoid his taunt."
RekSai,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/RekSai.png,medium,"Build armor, avoid her tunnels."
Rell,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rell.png,easy,"Build armor, avoid her mount."
Renata,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Renata.png,easy,"Build magic resist, avoid her ultimate."
Renekton,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Renekton.png,hard,"Build armor, avoid his fury."
Rengar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rengar.png,medium,"Build armor, avoid his ferocity."
Riven,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Riven.png,hard,"Build armor, avoid her combo."
Rumble,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Rumble.png,medium,"Build magic resist, avoid his flamespitter."
Ryze,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ryze.png,medium,"Build magic resist, avoid his root."
Samira,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Samira.png,easy,"Build armor, avoid her style."
Sejuani,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sejuani.png,medium,"Build armor, avoid her stun."
Senna,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Senna.png,easy,"Build armor, avoid her root."
Seraphine,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Seraphine.png,easy,"Build magic resist, avoid her charm."
Sett,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sett.png,medium,"Build armor, avoid his W."
Shaco,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shaco.png,medium,"Build armor, avoid his boxes."
Shen,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shen.png,medium,"Build armor, avoid his taunt."
Shyvana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Shyvana.png,medium,"Build armor, avoid her ultimate."
Singed,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Singed.png,medium,"Build magic resist, avoid his poison."
Sion,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sion.png,medium,"Build armor, avoid his Q."
Sivir,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sivir.png,easy,"Build armor, avoid her boomerang."
Skarner,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Skarner.png,easy,"Build armor, avoid his crystals."
Smolder,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Smolder.png,easy,"Build armor, avoid his fire breath."
Sona,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sona.png,easy,"Build magic resist, avoid her ultimate."
Soraka,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Soraka.png,easy,"Build magic resist, avoid her silence."
Swain,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Swain.png,medium,"Build magic resist, avoid his pull."
Sylas,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Sylas.png,medium,"Build magic resist, avoid his chains."
Syndra,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Syndra.png,medium,"Build magic resist, avoid her spheres."
TahmKench,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/TahmKench.png,medium,"Build magic resist, avoid his devour."
Taliyah,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Taliyah.png,medium,"Build magic resist, avoid her worked ground."
Talon,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Talon.png,medium,"Build armor, avoid his rake."
Taric,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Taric.png,easy,"Build armor, avoid his stun."
Teemo,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Teemo.png,hard,"Build magic resist, avoid his mushrooms."
Thresh,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Thresh.png,medium,"Build armor, avoid his hook."
Tristana,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Tristana.png,easy,"Build armor, avoid her jump."
Trundle,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Trundle.png,hard,"Build armor, avoid his pillar."
TwistedFate,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/TwistedFate.png,medium,"Build magic resist, avoid his gold card."
Twitch,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Twitch.png,easy,"Build armor, avoid his poison."
Udyr,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Udyr.png,medium,"Build armor, avoid his bear stance."
Urgot,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Urgot.png,medium,"Build armor, avoid his knees."
Varus,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Varus.png,easy,"Build armor, avoid his arrows."
Vayne,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vayne.png,easy,"Build armor, avoid her silver bolts."
Veigar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Veigar.png,medium,"Build magic resist, avoid his cage."
Velkoz,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Velkoz.png,medium,"Build magic resist, avoid his true damage."
Vex,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vex.png,medium,"Build magic resist, avoid her fear."
Vi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vi.png,medium,"Build armor, avoid her Q."
Viego,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Viego.png,medium,"Build armor, avoid his mist."
Viktor,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Viktor.png,medium,"Build magic resist, avoid his laser."
Vladimir,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Vladimir.png,medium,"Build magic resist, avoid his pool."
Volibear,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Volibear.png,medium,"Build armor, avoid his lightning."
Warwick,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Warwick.png,medium,"Build armor, avoid his ultimate."
MonkeyKing,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/MonkeyKing.png,medium,"Build armor, avoid his clone."
Xayah,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Xayah.png,easy,"Build armor, avoid her feathers."
Xerath,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Xerath.png,medium,"Build magic resist, avoid his Q."
XinZhao,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/XinZhao.png,medium,"Build armor, avoid his knockup."
Yasuo,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yasuo.png,medium,"Build armor, avoid his tornado."
Yone,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yone.png,medium,"Build armor, avoid his E."
Yorick,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yorick.png,medium,"Build armor, avoid his ghouls."
Yuumi,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Yuumi.png,easy,"Build magic resist, avoid her Q."
Zac,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zac.png,medium,"Build magic resist, avoid his slingshot."
Zed,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zed.png,medium,"Build armor, avoid his shadows."
Zeri,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zeri.png,easy,"Build armor, avoid her ultimate."
Ziggs,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ziggs.png,medium,"Build magic resist, avoid his bombs."
Zilean,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zilean.png,easy,"Build magic resist, avoid his bombs."
Zoe,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zoe.png,medium,"Build magic resist, avoid her sleep."
Zyra,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Zyra.png,medium,"Build magic resist, avoid her plants."
